分类,问题
个人星球,你周末一般都喜欢干嘛？
个人星球,你可以分享一本你喜欢的书吗？
个人星球,你喜欢养宠物吗？
个人星球,你喜欢什么类型的电影或电视剧呢？你近期有什么想看的吗？
个人星球,你喜欢吃什么菜系？酸甜苦辣咸你最不喜欢哪种味道？
个人星球,你和朋友一般会约什么活动呢？（电影、玩真人cs、密室逃脱、剧本杀、户外活动、体育活动等）
个人星球,你喜欢什么风格的音乐？可以分享你下你喜欢的音乐吗？
个人星球,你最喜欢的男明星和女明星分别是谁？
个人星球,你是什么星座的？你平时对星座有研究吗？
个人星球,你最喜欢哪个季节？为什么？
个人星球,你会做饭吗？平时做的多吗？
个人星球,你会开车吗？你当时考驾照都是一次性过的吗？
个人星球,你去过的最远的地方是哪里？
个人星球,你平常喜欢健身吗？
个人星球,平常喜欢出去旅游吗？会怎么规划旅游形式？
个人星球,分享一下今天经历
个人星球,请分享一下你的工作？
个人星球,分享一下你节日的安排
个人星球,你有没有偶像或者很佩服的人？
家庭星球,你和家人之间的关系是怎样的？
家庭星球,你父母关系怎么样，他们会一起去旅游吗？
理想国,此时如果你化身超人最想干什么？
恋爱星球,迅速找到三个你们的共同点？
恋爱星球,你对异地恋有什么看法？
恋爱星球,夸赞对方身上最有魅力的一个点？
恋爱星球,你理想中对象会有什么特质呢？
恋爱星球,你觉得谈得来、有眼缘、对你好，哪个最重要？
恋爱星球,如果女朋友/男朋友惹你生气了，你会直说吗？
恋爱星球,你会隐瞒让女朋友/男朋友生气的事情吗？
恋爱星球,爱与喜欢在你的人生中有什么区别？
时间的爪印,你童年的梦想是什么？现在实现了吗？
时间的爪印,你上学的时候逃过课没有？
时间的爪印,你有没有遇到过很奇葩的客户、领导和同事？
灵魂碰碰,你觉得现在过年还有年味吗？
灵魂碰碰,你如何看待这次疫情
灵魂碰碰,你觉得我适合什么类型的穿衣风格？
灵魂碰碰,你平常买东西最注重什么？
灵魂碰碰,你爱实体店买东西还是网购？碰上大促销会购买什么？
灵魂碰碰,买车的话你最看重什么？
灵魂碰碰,分享一个介绍人的趣事
灵魂碰碰,你觉得工作薪水高和做着开心哪个更重要呀？
灵魂碰碰,你觉得生活需要仪式感吗？
灵魂碰碰,你觉得人应该执着追求梦想还是应该更现实一些？
灵魂碰碰,你觉得坏人多还是好人多？
灵魂碰碰,你觉得好好学习是为了什么？
